t07303113,1.25,2.5,2.5,2.5,2.25,2.5,,2.25,1.75,2,,,,
t07303114,2,2.5,2.5,2.5,2.25,2.5,2.25,2.5,2.5,2.5,2.5,,,
b06303013,2.5,2.5,2.5,2.25,2.25,,2,2.25,1.25,2.25,,,,
b06303038,2,2.5,2.25,2.25,,2.5,,2.5,2.25,,2.5,,,
b04303099,2,,1.5,2,,1.5,2.25,,1.5,1.75,2.5,,,
b04305019,,1.5,1.5,2.25,,2.25,1.75,2.25,2,2,2.5,,,
b05401098,,2.5,2.5,2,,,,,,,,,,
b06501028,2,2,2.25,2.5,,2.25,1.75,2,2.25,2.25,2.5,,,
b05507059,1.75,1.5,2.5,2.25,,2.5,2,2.5,2.5,2.5,2.5,,,
b04507001,2.5,2.5,2.5,1.25,,1.75,2.5,2.5,1.75,2.5,2.5,,,
b06607025,1.25,1.25,2.25,2.5,2.25,2.5,,1.75,1.75,,2.5,,,
b06607027,1.75,2.5,2,2,,2.5,,2,,1.5,2.5,,,
b06607028,2.5,2,2.5,2.25,2.25,2.5,2,1.5,2.5,2,2.5,,,
b06607034,2,2,2.25,2,2.25,2.5,1.75,1.25,2.25,2,2,,,
b06607059,1.25,2,2.25,2.25,,,,,1.5,2.25,2,,,
b04610036,2.5,2.5,2.5,2.5,2,2.5,1.5,2,2.25,2,2.5,,,
b05610030,2,1.75,2,1.5,,,,,,,,,,
b05611008,1.5,2.5,2.5,2.25,2.25,2.5,2.25,2,2.25,1.75,2.25,,,
b05611012,2,2.5,2.5,2.25,2,2.5,2.25,2,1.75,,2.5,,,
b05611018,2,2.5,2.5,2.25,2,2.5,1.75,,1.75,,2.5,,,
b05611026,1.5,2.5,2.25,2.25,2.25,2.5,2.25,2,2.25,1.75,2.5,,,
t07701102,2,2.5,2.5,2,2.25,,2.5,2.25,2.5,2,,,,
t07701217,1.75,2,2.5,2.25,1.75,2.5,1.25,2.25,1.25,2.25,1.75,,,
b05610008,2.25,2.5,2.5,2.5,,2.25,2,2.25,2,2.25,1.75,,,
b05702001,2,2.5,2.5,2.5,2.25,2.5,2,2.5,2,2,1.75,,,
b05702004,2,2.5,2.5,2.5,2.5,1.5,1.75,2.25,1.75,2.25,2,,,
b05702008,1.75,2.5,2.5,2.25,1.75,2.25,1.5,1.5,2,1.5,1.75,,,
b05702019,2,2.5,2.5,2.5,,2,2.25,2.5,2.5,2.25,2.5,,,
b05702042,2,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,,,
b05702074,,,2.25,2,,,2.25,2.25,1.75,2.25,2.5,,,
b05702076,2,2.5,2.5,2.5,2,2.25,2.5,2.5,2.25,2.5,1.75,,,
b05702082,2,2.25,2,2.25,2.25,2.25,1.5,2.25,2.5,1.5,1.75,,,
b05702110,1.75,2.5,2.5,2,,1.5,,1.25,2,2,2.5,,,
b05702112,2,,2.5,2.5,,,2.25,,,,,,,
b03302142,,,,,,,,,,,,,,
b04702030,2,,,,,,,,,,,,,
b04702043,1.75,2,,,,1.75,2,,2,1.5,2.25,,,
b04702083,1.75,2.5,2.5,2,,2.5,2,,2,2,2.5,,,
b05605029,2,2.5,2.5,2.5,,,2.25,2.5,2.25,,2.5,,,
b06703021,2,2.5,2.25,2.5,,2.5,2.25,2.5,2,2.25,,,,
b06703004,2.25,2,2.25,2.25,,2.5,2.25,2.5,2.25,2,2.5,,,
b06703036,2.5,2.5,2.5,2.5,1.75,2.5,2.25,2.5,2.5,2.25,2.25,,,
